title,link,date,summary
Якої погоди очікувати українцям взимку,https://www.bbc.com/ukrainian/articles/cdrdy8121jgo,31 жовтня 2024,"Надміру спекотне літо співпало з інтенсивним періодом відключення електроенергії - українцям довелося переживати рекордні температури без кондиціонерів. Вересень і жовтень цього року були м'якими і бездощовими. То коли очікувати холодів, і якою буде третя зима у війні?"
"Смертоносний удар по будинку в Харкові: загинули діти, багато поранених",https://www.bbc.com/ukrainian/articles/c748mymd1llo,31 жовтня 2024,Авіабомба влучила в 9-поверховий житловий будинок у Салтівському районі міста. Зруйновано під’їзд з 5 по 1 поверхи.
"Революція, яку Україна проґавила: чому оптоволоконні дрони змінюють все на полі бою",https://www.bbc.com/ukrainian/articles/cg4lz9zz3zeo,31 жовтня 2024,Росія випередила Україну і вперше запустила серійне виробництво оптоволоконних дронів. Чим вони особливі?
Чи зможе Україна мобілізувати ще 160 тисяч бійців,https://www.bbc.com/ukrainian/articles/c4gxwkd0x95o,30 жовтня 2024,"Українська влада продовжила до початку лютого 2025 року терміни загальної мобілізації і заявила, що планує призвати на військову службу ще 160 тисяч чоловіків у цей період. Але чи зможе Київ реалізувати ці плани?"
Чи домовляться Україна та Росія про припинення ударів по енергетиці - FT,https://www.bbc.com/ukrainian/articles/c20gppzg0x9o,30 жовтня 2024,"Україна та Росія ведуть попередні переговори щодо припинення ударів по енергетичній інфраструктурі, пише видання Financial Times із посиланням на поінформовані джерела."
Розстріли українських полонених. Чому росіяни це роблять і чи більшає таких випадків,https://www.bbc.com/ukrainian/articles/c4gpl82r3e3o,30 жовтня 2024,Що відомо про вбивства військовополонених на російсько-українській війні та чому повідомлень про такі випадки в останні місяці стає все більше?
"Росія заявила, що захопила Селидове. Що це означатиме для фронту",https://www.bbc.com/ukrainian/articles/cx2nw1p11jko,29 жовтня 2024,"Українська сторона офіційно це не підтвердила, але раніше про відхід звідти ЗСУ писали українські військові блогери та експерти."
Навіщо Україна атакує російські спиртзаводи,https://www.bbc.com/ukrainian/articles/c0mzvvddgg8o,29 жовтня 2024,У жовтні українські безпілотники здійснили серію атак на спиртові заводи в Росії. Якою може бути мета цього?
"Краху не сталося. WP аналізує, скільки Росія ще зможе воювати проти України",https://www.bbc.com/ukrainian/articles/cev9g9n10g8o,28 жовтня 2024,"Попри перегрів економіки, РФ зможе фінансувати війну ще кілька років завдяки значним доходам від продажу нафти та невдалі західні санкції, пише  Washington Post із посиланням на опитаних економістів."
"У Києві дрон вразив будинок, загинула дитина. Ще 5 загиблих в Дніпрі",https://www.bbc.com/ukrainian/articles/cr4lx93k0qqo,26 жовтня 2024,Увечері 25 жовтня та в ніч на 26 жовтня Росія здійснила атаки на різні українські міста. Відомо про загиблу дитину в Києві та 5 загиблих у Дніпрі. Є багато постраждалих.
